"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/hashtags/4/indices/0","entities/hashtags/4/indices/1","entities/hashtags/4/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/urls/1/display_url","entities/urls/1/expanded_url","entities/urls/1/indices/0","entities/urls/1/indices/1","entities/urls/1/url","entities/urls/2/display_url","entities/urls/2/expanded_url","entities/urls/2/indices/0","entities/urls/2/indices/1","entities/urls/2/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","true","Medical Freedom. Oppose Draconian Medical Mandate Bills 🇺🇸 1A","https://pbs.twimg.com/profile_images/1218840807450517507/8kCGvOUc_normal.jpg","BodyAutonomy","1218840266167156736","BodyAutonomy","2637","0","1342532584123883520","Fri Dec 25 18:15:37 +0000 2020","Educate the public. We live among trillions of viruses. We can’t cower in fear forever.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342534479961849857","en","37",,,,,,,,,,,,,,,,,,,"0","7","2","active","@CDCgov Educate the public. We live among trillions of viruses. We can’t cower in fear forever.",
"false","false","💙🇺🇸🇺🇦","https://pbs.twimg.com/profile_images/1547441124813463553/dBKWjQCg_normal.jpg","AuntieB63","253858160","AuntieB63","888","0","1342532584123883520","Sat Dec 26 06:38:26 +0000 2020","People making jokes about this virus, deniers, my sisters neighbors buried 7 family members in the last 2 weeks to Covid-19. Can you imagine loosing 5 aunts/uncles/cousins along with your parents all so close together? #MaskUp",,"227","234","MaskUp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342721415682945024","en","6",,,,,,,,,,,,,,,,,,,"0","4","1","active","@CDCgov People making jokes about this virus, deniers, my sisters neighbors buried 7 family members in the last 2 weeks to Covid-19. Can you imagine loosing 5 aunts/uncles/cousins along with your parents all so close together? #MaskUp",
"false","false","West coast Democrat. Retired, living the dream in the Cascade foot hills, Gun law advocate, immigration advocate, women's rights advocate. Resister.","https://pbs.twimg.com/profile_images/1553359385698508801/_0hWqu63_normal.jpg","Wendy ☮️","1208161434116378625","WendyResists","119","0","1342532584123883520","Sat Dec 26 18:37:36 +0000 2020","Everyone that sees this tweet please go follow @Covid19Critical and https://t.co/D6HxFORkjB Dr Paul Marik and Dr Pierre Kory on their new treatment protocol using #Ivermectin for Covid. They need the @NIH to approve use.
#followthescience",,"171","182","Ivermectin","229","246","followthescience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLCCC.NET","http://FLCCC.NET","76","99","https://t.co/D6HxFORkjB",,,,,,,,,,,"146569971","0","7","CDC","CDCgov","15134240","208","212","NIH","NIH",,,,,,,,,,,"1342902399678074880","en","1",,,,,,,,,,,,,,,,,,,"0","0","1","active","@CDCgov Everyone that sees this tweet please go follow @Covid19Critical and https://t.co/D6HxFORkjB Dr Paul Marik and Dr Pierre Kory on their new treatment protocol using #Ivermectin for Covid. They need the @NIH to approve use.
#followthescience",
"true","true","An independent political commentator not affiliated with any organization. Truthful political opinions to restore our country 🇺🇲 𝕏🗣️MAGA @Real_DennisL","https://pbs.twimg.com/profile_images/1910175282843328512/vkzoP9cw_normal.jpg","Asia Sky Media 🇺🇸","1228005246070165506","AsiaSkyMedia","701","0","1342532584123883520","Sat Dec 26 00:16:18 +0000 2020","‼️ REMEMBER ‼️we must hold #CCP accountable for the #pandemic.",,"35","39","CCP","60","69","pandemic",,,,,,,,,,"pic.x.com/C9Su3HGXr4","https://x.com/AsiaSkyMedia/status/1342625248823312384/photo/1",,"Available","1342625208906051584","71","94","16_1342625208906051584","16_1342625208906051584","https://pbs.twimg.com/tweet_video_thumb/EqH2g5NUcAA-Sj9.jpg",,,,,,,,,,,,,,,,,,,,,"640","640","640","fit","640","640","fit","640","640","fit","640","150","crop","150","animated_gif","https://t.co/C9Su3HGXr4","1","1","0","video/mp4","https://video.twimg.com/tweet_video/EqH2g5NUcAA-Sj9.mp4",,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342625248823312384","en","5",,,"1","1",,"1342625208906051584","https://pbs.twimg.com/tweet_video_thumb/EqH2g5NUcAA-Sj9.jpg","640","640","0","video/mp4","https://video.twimg.com/tweet_video/EqH2g5NUcAA-Sj9.mp4",,,,,,,"0","0","1","active","@CDCgov ‼️ REMEMBER ‼️we must hold #CCP accountable for the #pandemic. https://t.co/C9Su3HGXr4",
"false","false","I am only a old Country Boy very direct and I try not to have a failure to communicate, Spiritual  minded, love Gospel 🎶 and Easy listening jazz  !! I am his","https://pbs.twimg.com/profile_images/1245152992413782016/OTF3knJE_normal.jpg","Theodore Jordan","990943930819776512","Jorda20Theo","0","0","1342532584123883520","Sun Dec 27 03:06:35 +0000 2020","Was in emergency room around other people drs. Nurses Tech !! They sent me home !! I had Angina !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1343030487800045574","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Was in emergency room around other people drs. Nurses Tech !! They sent me home !! I had Angina !",
"false","true","i like basketball","https://pbs.twimg.com/profile_images/1348285567105171458/VWbRwQkZ_normal.jpg","pj","1256248134340149248","pjbrindle","0","0","1342532584123883520","Sat Dec 26 16:54:24 +0000 2020","https://t.co/2KLcohFAfV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gofundme.com/f/help-my-mom-…","https://www.gofundme.com/f/help-my-mom-leave-her-abusive-boyfriend?utm_source=twitter&utm_medium=social&utm_campaign=p_cf+share-flow-1","8","31","https://t.co/2KLcohFAfV",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342876426794639360","qme","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/2KLcohFAfV",
"false","false","","https://pbs.twimg.com/profile_images/1338001788100702208/iI3QWkSz_normal.jpg","#StopTheLies","1337999100415897601","SpankyMofo","1","0","1342532584123883520","Fri Dec 25 19:25:10 +0000 2020","Too many Muppets out there won't listen, I highly doubt this will end even by the end of 2021.
Looks like perma-flight bans from US, UK, India etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342551980065968129","en","2",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Too many Muppets out there won't listen, I highly doubt this will end even by the end of 2021.
Looks like perma-flight bans from US, UK, India etc",
"true","false","❤️ Trump - 2025. God Bless Charlie Kirk. USMC wife. Mother. Oma. Salty RN. Not ashamed of the gospel. God & America 1st.","https://pbs.twimg.com/profile_images/1945201706259632128/lv17-72P_normal.jpg","Kiss my Grits FloNightingale 🌸","452850226","KissNightingale","6697","0","1342532584123883520","Sat Dec 26 11:10:24 +0000 2020","How about we close the fucking borders?????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342789856213282818","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov How about we close the fucking borders?????",
"true","false","❤️ Trump - 2025. God Bless Charlie Kirk. USMC wife. Mother. Oma. Salty RN. Not ashamed of the gospel. God & America 1st.","https://pbs.twimg.com/profile_images/1945201706259632128/lv17-72P_normal.jpg","Kiss my Grits FloNightingale 🌸","452850226","KissNightingale","6697","0","1342532584123883520","Sat Dec 26 11:09:00 +0000 2020","How many times do you have to say this?????????  Stop it. Enough.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342789506483814400","en","1",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov How many times do you have to say this?????????  Stop it. Enough.",
"false","false","🌎BLM 🇺🇦 Protect Democracy, 🌎biodiversity & 🇺🇸Constitutional Rights. GOP Treason: Jail Trump et al for J6. Iowabiologist.🦋for RuleOfLaw & Freedom","https://pbs.twimg.com/profile_images/1819108792149172224/Ry0WFPxV_normal.jpg","Iowa Biologist 4 Justice⚖️🗽🏳️‍🌈 🏳️‍⚧️ 🪶♿️🔶","836857681","ForRuleOfLaw","2968","0","1342532584123883520","Fri Dec 25 22:01:36 +0000 2020","https://t.co/xlyZXiDMdK 
... better yet, #Lockdown2BannishCovid",,"49","71","Lockdown2BannishCovid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"x.com/jolly57la/stat…","https://x.com/jolly57la/status/1342589125539422208?s=21","8","31","https://t.co/xlyZXiDMdK",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342591349221187585","en","1",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov https://t.co/xlyZXiDMdK 
... better yet, #Lockdown2BannishCovid",
