"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/hashtags/4/indices/0","entities/hashtags/4/indices/1","entities/hashtags/4/text","entities/hashtags/5/indices/0","entities/hashtags/5/indices/1","entities/hashtags/5/text","entities/hashtags/6/indices/0","entities/hashtags/6/indices/1","entities/hashtags/6/text","entities/hashtags/7/indices/0","entities/hashtags/7/indices/1","entities/hashtags/7/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","quotes","replies","retweets","status","text","views"
"false","false","Flow with Life","https://pbs.twimg.com/profile_images/1515805777344270336/fcTq_Hgt_normal.jpg","M ◎ L I T E","159240504","molitemusic","337","0","1428010778255368199","Wed Aug 18 15:12:30 +0000 2021","I didnt realize this was a lifetime subscription plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428011934033620998","en","22",,,,,,,,,,,,,"0","3","1","active","@CDCgov I didnt realize this was a lifetime subscription plan",
"false","true","Memories are all I have left
Julie 01/04/1984-11/04/2019
John 02/17/1993-09/27/2020","https://pbs.twimg.com/profile_images/1438351396118712321/CjTlOqRe_normal.jpg","Deb Austin","1348872672277630976","zzdbbaszz","115","0","1428010778255368199","Wed Aug 18 15:17:01 +0000 2021","Be nice if they offered the booster soon to those of us living in areas of high anti-vaxxer activity. Like here in TN. A booster would make me feel more comfortable living here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428013067791704069","en","16",,,,,,,,,,,,,"0","14","0","active","@CDCgov Be nice if they offered the booster soon to those of us living in areas of high anti-vaxxer activity. Like here in TN. A booster would make me feel more comfortable living here.",
"false","false","She/her. Vaccines and masks save lives. Sinister teacher.","https://pbs.twimg.com/profile_images/1348497571363364864/KPMGMhYp_normal.jpg","Jules Jay","822914768264687617","mod_zero_melons","88","0","1428010778255368199","Wed Aug 18 15:19:39 +0000 2021","When are kids aged 6months to 11 finally going to be eligible??",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428013732215631872","en","8",,,,,,,,,,,,,"1","7","0","active","@CDCgov When are kids aged 6months to 11 finally going to be eligible??",
"false","false","“ When the people find that they can vote themselves money that will herald the end of the republic.” Benjamin Franklin","https://pbs.twimg.com/profile_images/1176495046989930496/0S_iJ-be_normal.jpg","Miss Padraigin","15418984","misspadraigin","316","0","1428010778255368199","Wed Aug 18 16:59:45 +0000 2021","Many persons, like myself, with suppressed immune systems took the J&amp;J vaccine with confidence based on your recommendation,  When can we expect to learn about second doses or booster shots for us? How are you planning to protect us? ""No data"" is an unacceptable answer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428038921909415936","en","4",,,,,,,,,,,,,"0","1","2","active","@CDCgov Many persons, like myself, with suppressed immune systems took the J&amp;J vaccine with confidence based on your recommendation,  When can we expect to learn about second doses or booster shots for us? How are you planning to protect us? ""No data"" is an unacceptable answer.",
"false","true","Author; Diagnosis Detective: Curing Granulomatous Mastitis, Resume Writer and Franchise Biz Consultant. https://t.co/95nwErVizr","https://pbs.twimg.com/profile_images/1452037669131857921/3mFQdLu-_normal.jpg","Diagnosis Detective/Tami B. (Author)","28994407","Tami1501","1393","0","1428010778255368199","Wed Aug 18 15:11:16 +0000 2021","Well duh that's how you put more big money in the big pocket books",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428011620920401929","en","4",,,,,,,,,,,,,"0","1","0","active","@CDCgov Well duh that's how you put more big money in the big pocket books",
"false","false","","https://pbs.twimg.com/profile_images/1038988872313491463/OWVFJ2bF_normal.jpg","Bernie Phillips","749988132666351616","phi1_dale","363","0","1428010778255368199","Wed Aug 18 15:17:52 +0000 2021","This threw me off at first because if I remembered correctly, when they were first talking about a booster shot that there wasn’t any harm getting a Pfizer booster if you originally received the Moderna or J&amp;J vaccine. So it sounds like that is being walked back a bit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428013283668230146","en","3",,,,,,,,,,,,,"0","0","0","active","@CDCgov This threw me off at first because if I remembered correctly, when they were first talking about a booster shot that there wasn’t any harm getting a Pfizer booster if you originally received the Moderna or J&amp;J vaccine. So it sounds like that is being walked back a bit.",
"false","false","Reality exists outside of our opinions!","https://pbs.twimg.com/profile_images/1393763261678501891/CPPmgbio_normal.jpg","XRP Roofer","1388670917857923074","RooferXrp","62","0","1428010778255368199","Wed Aug 18 15:31:44 +0000 2021","",,,,,,,,,,,,,,,,,,,,,,,,,"pic.x.com/v3affTKr2T","https://x.com/RooferXrp/status/1428016771047514124/photo/1",,"Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1428016755125927939","8","31","3_1428016755125927939","3_1428016755125927939","https://pbs.twimg.com/media/E9FVrD6WQAMbgOo.jpg","1440","2571","0","0","1440","1440","265","0","1440","1263","354","0","1440","720","625","0","1440","3040","0","0","1440","3040","970","fit","2048","568","fit","1200","322","fit","680","150","crop","150","photo","https://t.co/v3affTKr2T",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428016771047514124","qme","3","1428016755125927939","https://pbs.twimg.com/media/E9FVrD6WQAMbgOo.jpg",,,,,,,,,,,"0","1","0","active","@CDCgov https://t.co/v3affTKr2T",
"false","false","🇵🇷Packaging Designer. Logo Developer. Geerd™. Bacon aficionado. Find me everywhere @rcarmstrong https://t.co/p25pfrKMgG","https://pbs.twimg.com/profile_images/1423349242253430787/vRT1T1kb_normal.jpg","r.c. armstrong","17992976","rcarmstrong","816","0","1428010778255368199","Wed Aug 18 16:15:16 +0000 2021","I have one question (for clarification). Are booster ""rollouts"" based on the date of a second shot?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428027729430069248","en","3",,,,,,,,,,,,,"0","2","0","active","@CDCgov I have one question (for clarification). Are booster ""rollouts"" based on the date of a second shot?",
"false","false","Gaming is my hobby! (PC w/🎮) 🇵🇷🇺🇸","https://pbs.twimg.com/profile_images/1920890738054750208/cwksClxB_normal.jpg","Ivan Melendez","35964952","twistwist777","0","0","1428010778255368199","Wed Aug 18 16:59:52 +0000 2021","Kids under 12 y/o please! we need it, when?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428038951223414788","en","3",,,,,,,,,,,,,"0","0","0","active","@CDCgov Kids under 12 y/o please! we need it, when?",
"true","false","","https://pbs.twimg.com/profile_images/876303027153534977/ETie5pys_normal.jpg","Luciano Gaudelli","48919262","LucianoGaudelli","9421","0","1428010778255368199","Wed Aug 18 15:39:20 +0000 2021","Vaccine immunity lasts 6 to 8 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428018686426853377","en","2",,,,,,,,,,,,,"0","1","0","active","@CDCgov Vaccine immunity lasts 6 to 8 months.",
