"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/additional_media_info/monetizable","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/duration_millis","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/media/0/video_info/variants/1/bitrate","entities/media/0/video_info/variants/1/content_type","entities/media/0/video_info/variants/1/url","entities/media/0/video_info/variants/2/bitrate","entities/media/0/video_info/variants/2/content_type","entities/media/0/video_info/variants/2/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","media/video/0/variants/1/bitrate","media/video/0/variants/1/content_type","media/video/0/variants/1/url","media/video/0/variants/2/bitrate","media/video/0/variants/2/content_type","media/video/0/variants/2/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","true","I watch pop films. born October  10th. 5:04 AM, creative engine on!!","https://pbs.twimg.com/profile_images/1891989281108824064/JGo6SMA4_normal.jpg","David Lion","180514599","TalksSoMuch","832","0","1475587321277956096","Mon Dec 27 22:09:06 +0000 2021","The spreaders of the current mutations are the vaccinated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475589583412908032","en","7",,,,,,,,,,,,,,,,,,,"United States","US","Manhattan, NY","https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","city","0","1","1","active","@CDCgov The spreaders of the current mutations are the vaccinated",
"false","false","501c3 Focused on eliminating Hot Car Deaths of children and pets.
Looking to connect with;
Parenting News Lifestyle Technology & Science Government & Politics","https://pbs.twimg.com/profile_images/778185599270387712/1Jxm-Eiq_normal.jpg","BabySav","778085460044345344","BabySav_now","1148","0","1475587321277956096","Mon Dec 27 22:22:50 +0000 2021","Fully vaccinated has many definition.. CDC is even changing it.. need clear direction as people will lose jobs if they don't have boosters if that is the new standard, and why...case studies..5 cruises all with 100% vaccinated rules, all had a spread.. what does that say???",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475593041121447938","en","7",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","3","0","active","@CDCgov Fully vaccinated has many definition.. CDC is even changing it.. need clear direction as people will lose jobs if they don't have boosters if that is the new standard, and why...case studies..5 cruises all with 100% vaccinated rules, all had a spread.. what does that say???",
"false","false","Stand Tall, Love Yourself! Iranian Canadian sharing my journey to spread the Canadian dream","https://pbs.twimg.com/profile_images/1441540549006266370/l1P5wFeT_normal.jpg","Ladybug","1370837663591321602","Laadybuuug","68","0","1475587321277956096","Mon Dec 27 22:06:05 +0000 2021","I am a Canadian but I very much like the information provided by CDC , very informative &amp; trustable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475588822809432067","en","5",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","1","1","active","@CDCgov I am a Canadian but I very much like the information provided by CDC , very informative &amp; trustable.",
"false","true","🇺🇸🇺🇸🇺🇸🇺🇸","https://pbs.twimg.com/profile_images/1614213836487131142/XPMWtIoX_normal.jpg","suburban fellow","985257662337208320","SuburbanFellow","264","0","1475587321277956096","Mon Dec 27 23:59:43 +0000 2021","mRNA is and always has been an experiment. It’s leaning toward failure with even boosters loosing efficacy. Why are you not working with the FDA in authorizing Covaxin? Even the WHO is behind it. So would more Americans be with taking an inactive vaccine rather that mRNA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475617419200802825","en","4",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","6","1","active","@CDCgov mRNA is and always has been an experiment. It’s leaning toward failure with even boosters loosing efficacy. Why are you not working with the FDA in authorizing Covaxin? Even the WHO is behind it. So would more Americans be with taking an inactive vaccine rather that mRNA.",
"false","true","إعادة التغريدة لا تعني التأييد والإعجاب، أضع المعلومة بين يديك وأنت من يقرر، إن أخطأت فصحح لي.

* لن تجد عندي دفاً🥁 ومزمارا🤗","https://pbs.twimg.com/profile_images/1451259005263912966/TmzlrhTz_normal.jpg","وخزات✏️😎","3284060906","Wa5ZaT","6675","0","1475587321277956096","Mon Dec 27 22:02:04 +0000 2021","We are waiting the 8th dose😎",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475587812632285190","en","5",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","1","2","0","active","@CDCgov We are waiting the 8th dose😎",
"false","false","NYC born and raised. 
Natural cynic and skeptic.
I believe none of what I hear and half of what I see.
I put the FUN in dysfunctional.","https://pbs.twimg.com/profile_images/1380155111465492482/oQMdKPyR_normal.jpg","""The Scootchie Bastid""","325287513","JoePasquarello","524","0","1475587321277956096","Mon Dec 27 22:35:44 +0000 2021","",,,,,,,,"pic.x.com/SdlPBOAX4i","https://x.com/JoePasquarello/status/1475596286422306816/photo/1","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1475596258928742400","24","47","3_1475596258928742400","3_1475596258928742400","https://pbs.twimg.com/media/FHpe-r1X0AA6rmF.jpg","719","1284","0","0","1284","1284","0","0","1390","1219","65","0","1390","695","589","0","1390","1284","0","0","1390","1284","1390","fit","1284","1200","fit","1108","680","fit","628","150","crop","150","photo","https://t.co/SdlPBOAX4i",,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","820023407408455680","8","23","Dakota County","DakotaCountyMN","1475596286422306816","qme","5","1475596258928742400","https://pbs.twimg.com/media/FHpe-r1X0AA6rmF.jpg",,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","1","1","0","active","@CDCgov @DakotaCountyMN https://t.co/SdlPBOAX4i",
"false","true","Identified Complex Quantum Crimes in the 2016 & 2020 US elections. Transfer of Power, Specializing in Anomaly detection, PSI PK SRI  entity acquisition","https://pbs.twimg.com/profile_images/1431012733844172805/W-EUoAXk_normal.jpg","Work4GlobalPeaceBlessed","1321215018717818880","peace_work4","157","0","1475587321277956096","Mon Dec 27 22:56:39 +0000 2021","We need to atop using wrong information, to pass the mandates it's wrong and sadly leads to a genocide",,,,,,,"false","pic.x.com/raNCWxGYQP","https://x.com/peace_work4/status/1475601548155789312/video/1","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1475601392844877824","111","134","7_1475601392844877824","7_1475601392844877824","https://pbs.twimg.com/ext_tw_video_thumb/1475601392844877824/pu/img/QzPn9w6eg_cQ_g9F.jpg",,,,,,,,,,,,,,,,,,,,,"608","480","608","fit","480","608","fit","480","608","fit","480","150","crop","150","video","https://t.co/raNCWxGYQP","15","19","71708",,"application/x-mpegURL","https://video.twimg.com/ext_tw_video/1475601392844877824/pu/pl/Vm7xG3K5_5qliiqx.m3u8?tag=12","632000","video/mp4","https://video.twimg.com/ext_tw_video/1475601392844877824/pu/vid/320x404/OnuIKna1ylxM5MVJ.mp4?tag=12","950000","video/mp4","https://video.twimg.com/ext_tw_video/1475601392844877824/pu/vid/480x608/RLo5jUNxN79wDW0c.mp4?tag=12",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475601548155789312","en","4",,,"15","19","71708","1475601392844877824","https://pbs.twimg.com/ext_tw_video_thumb/1475601392844877824/pu/img/QzPn9w6eg_cQ_g9F.jpg","608","480",,"application/x-mpegURL","https://video.twimg.com/ext_tw_video/1475601392844877824/pu/pl/Vm7xG3K5_5qliiqx.m3u8?tag=12","632000","video/mp4","https://video.twimg.com/ext_tw_video/1475601392844877824/pu/vid/320x404/OnuIKna1ylxM5MVJ.mp4?tag=12","950000","video/mp4","https://video.twimg.com/ext_tw_video/1475601392844877824/pu/vid/480x608/RLo5jUNxN79wDW0c.mp4?tag=12","United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","1","0","active","@CDCgov We need to atop using wrong information, to pass the mandates it's wrong and sadly leads to a genocide https://t.co/raNCWxGYQP",
"false","true","Equality & Freedom for ALL, #VetsResist #Resistance #BlueWave #GloryToUkraine","https://pbs.twimg.com/profile_images/1519467616590610433/j2mfHmCu_normal.jpg","🌻 FlyAway🏳️‍🌈⚢","894236083","Tejaas23","1534","0","1475587321277956096","Tue Dec 28 01:02:07 +0000 2021","When are vaccines going to become mandatory?  European countries imposing a vax mandates next month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475633124407136262","en","2",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","3","1","active","@CDCgov When are vaccines going to become mandatory?  European countries imposing a vax mandates next month",
"false","false","","https://pbs.twimg.com/profile_images/1353835165110444033/4n7iphoe_normal.jpg","CB","1280368375961489408","Seekingtruth223","29","0","1475587321277956096","Mon Dec 27 23:12:23 +0000 2021","BS!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475605509478748161","und","3",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov BS!!!",
"false","true","Equality & Freedom for ALL, #VetsResist #Resistance #BlueWave #GloryToUkraine","https://pbs.twimg.com/profile_images/1519467616590610433/j2mfHmCu_normal.jpg","🌻 FlyAway🏳️‍🌈⚢","894236083","Tejaas23","1534","0","1475587321277956096","Tue Dec 28 00:59:39 +0000 2021","One dose does nothing to protect you after 4 months. Tell the truth!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475632505860595718","en","3",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov One dose does nothing to protect you after 4 months. Tell the truth!",
