"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/hashtags/4/indices/0","entities/hashtags/4/indices/1","entities/hashtags/4/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","entities/user_mentions/4/id_str","entities/user_mentions/4/indices/0","entities/user_mentions/4/indices/1","entities/user_mentions/4/name","entities/user_mentions/4/screen_name","entities/user_mentions/5/id_str","entities/user_mentions/5/indices/0","entities/user_mentions/5/indices/1","entities/user_mentions/5/name","entities/user_mentions/5/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","#nhpolitics","https://pbs.twimg.com/profile_images/1144300884400181248/rczezg-Y_normal.jpg","Naomi Andrews","34495857","NaomiAndrewsNH","1174","0","1238841061277040640","Sat Mar 14 14:58:33 +0000 2020","Please step up this guidance. Everyone needs to stay home (who is not essential to help with this emergency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238841957247602691","en","18",,,,,,,,,"0","1","1","active","@CDCgov Please step up this guidance. Everyone needs to stay home (who is not essential to help with this emergency).",
"false","false","","https://pbs.twimg.com/profile_images/1352970418957778951/pM0E5fuZ_normal.jpg","D Thomas","1164948412917309440","DThomas06056994","41","0","1238841061277040640","Mon Mar 16 16:58:01 +0000 2020","@GovRonDeSantis @SenRubioPress @RepTedYoho @BernieSanders @realDonaldTrump 

Federal health officials recommend we acquire a several-week supply of prescription drugs we routinely take 4 chronic conditions. 
PLZ Lift restrictions on pain meds 4 CPPs.
#HighRiskCovid19 #CripTheVote","273","289","HighRiskCovid19","290","302","CripTheVote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","131546062","8","21","Rick Scott","SenRickScott","1058807868","22","37","Ron DeSantis","GovRonDeSantis","1071900114","53","64","Ted Yoho","RepTedYoho","216776631","65","79","Bernie Sanders","BernieSanders","25073877","80","96","Donald J. Trump","realDonaldTrump","1239596794377535488","en","1",,,,,,,,,"0","0","1","active","@CDCgov @SenRickScott @GovRonDeSantis @SenRubioPress @RepTedYoho @BernieSanders @realDonaldTrump 

Federal health officials recommend we acquire a several-week supply of prescription drugs we routinely take 4 chronic conditions. 
PLZ Lift restrictions on pain meds 4 CPPs.
#HighRiskCovid19 #CripTheVote",
"false","false","Thank you for follow.
We will create and update interesting game videos and helpful videos.","https://pbs.twimg.com/profile_images/1230953865656193024/yFA_NXJm_normal.jpg","헬푸Tube","1184503974730194944","haneuldamda","1","1","1238841061277040640","Sat Mar 14 15:11:28 +0000 2020","How to make a mask easily
https://t.co/m1PO5B74fu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"youtu.be/uOS9eSj4FgE","https://youtu.be/uOS9eSj4FgE","34","57","https://t.co/m1PO5B74fu","146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238845204871831552","en","3",,,,,,,,,"0","1","1","active","@CDCgov How to make a mask easily
https://t.co/m1PO5B74fu",
"false","false","Practice Manager at Renz Counseling, LLC","https://pbs.twimg.com/profile_images/1074825579478827010/4tb4uIgf_normal.jpg","George Renz","14844073","GeorgeCRenz","152","0","1238841061277040640","Sun Mar 15 20:11:24 +0000 2020","Many at highest risk of contracting #COVID19 are #Medicare patients. The bill signed over a week ago allows @CMSGov to relax Medicare restrictions on #telehealth. But it hasn't yet done so. These patients need to be able to use telehealth - and phone calls - for mental health NOW","57","65","COVID19","70","79","Medicare","171","182","telehealth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","314216196","8","20","Medicare.gov","MedicareGov","70837868","129","136","CMSGov","CMSGov",,,,,,,,,,,,,,,,"1239283075470757889","en","0",,,,,,,,,"0","0","1","active","@CDCgov @MedicareGov Many at highest risk of contracting #COVID19 are #Medicare patients. The bill signed over a week ago allows @CMSGov to relax Medicare restrictions on #telehealth. But it hasn't yet done so. These patients need to be able to use telehealth - and phone calls - for mental health NOW",
"false","false","Life is short, enjoy it.","https://pbs.twimg.com/profile_images/934594822400126976/u4fGv6QO_normal.jpg","Mark William Singler","2951042889","Equalizer008","255","0","1238841061277040640","Sat Mar 14 15:09:49 +0000 2020","Just had a family emergency meeting on what to do if any of us gets sick. By unanimous vote, we have decided to get well as soon as possible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","281809469","8","17","Oahu Emergency Mgmt.","Oahu_DEM",,,,,,,,,,,,,,,,,,,,,"1238844792970207233","en","10",,,,,,,,,"0","0","1","active","@CDCgov @Oahu_DEM Just had a family emergency meeting on what to do if any of us gets sick. By unanimous vote, we have decided to get well as soon as possible.",
"false","false","Grades 3-6 STEAM / Driver's Ed Teacher, Passionate about empowering future-ready students; he/him","https://pbs.twimg.com/profile_images/1009268207595728896/Om7Y5A3R_normal.jpg","Eric Bentley","405544049","EricJBentley","1407","0","1238841061277040640","Sat Mar 14 15:09:13 +0000 2020","Coronavirus Explained! (for kids) https://t.co/usrp6BJbvJ via @YouTube I love this! Knowledge is power. Share this with kids and talk about it so that they’re not afraid of the unknown!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"youtu.be/OPsY-jLqaXM","https://youtu.be/OPsY-jLqaXM","54","77","https://t.co/usrp6BJbvJ","146569971","0","7","CDC","CDCgov","56693003","8","19","DTE_Energy","DTE_Energy","10228272","82","90","YouTube","YouTube",,,,,,,,,,,,,,,,"1238844641581191171","en","2",,,,,,,,,"0","0","1","active","@CDCgov @DTE_Energy Coronavirus Explained! (for kids) https://t.co/usrp6BJbvJ via @YouTube I love this! Knowledge is power. Share this with kids and talk about it so that they’re not afraid of the unknown!",
"false","false","","https://pbs.twimg.com/profile_images/1238864264376520704/tG9NSRs-_normal.jpg","E Nix","86648254","nursconslt","4","1","1238841061277040640","Sat Mar 14 16:32:40 +0000 2020","Why is the status of  Co Diagnostics lab of Utah? They have an agreement to ship 30,000 tests to Latin American country. Can this company get expedited approval to ship  30,000 Covid tests to my state? 
https://t.co/ooG1C9ffyb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"proactiveinvestors.com/companies/news…","https://www.proactiveinvestors.com/companies/news/914927/co-diagnostics--covid-19-test-to-be-distributed-in-ecuador-914927.html","211","234","https://t.co/ooG1C9ffyb","146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238865641857220608","en","0",,,,,,,,,"1","0","1","active","@CDCgov Why is the status of  Co Diagnostics lab of Utah? They have an agreement to ship 30,000 tests to Latin American country. Can this company get expedited approval to ship  30,000 Covid tests to my state? 
https://t.co/ooG1C9ffyb",
"false","false","$LINK the switch was flipped watch the magic
$LINK is just data...just orchestration....just everything...  

And we are its first citizens..... IYKYK","https://pbs.twimg.com/profile_images/922887564733894659/BITiDu_a_normal.jpg","LINK+EVERYTHING= WINNER","869745578061811714","inosmellbs","99","0","1238841061277040640","Sat Mar 14 14:58:54 +0000 2020","Breaking News report: old people more likely to die",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238842042178048000","en","0",,,,,,,,,"0","2","1","active","@CDCgov Breaking News report: old people more likely to die",
"false","false","@CoherentCanary","https://pbs.twimg.com/profile_images/2054832075224817664/eV61QiYT_normal.jpg","Coherent Finch 🐦","1235762183385911297","CoherentFinch","191","0","1238841061277040640","Sat Mar 14 14:55:22 +0000 2020","Thank yoU!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238841152683388936","en","0",,,,,,,,,"0","0","0","active","@CDCgov Thank yoU!",
"false","false","Obduktionstekniker Hans Brüggener. Balsameringskonst Smittskydd. Föreläsare. Utland. Disaster aid. Disease control. Repatriation/human bodies . Non-political.","https://pbs.twimg.com/profile_images/1071468207653965829/OIBAnYSu_normal.jpg","Obduktionstekniker, Anapath International/MSI","1071467478872719366","AnapathMsi","4","0","1238841061277040640","Sat Mar 14 16:22:08 +0000 2020","Partly true. But most people have ""underlying causes"". Posts like this cause confusion and gives false statistics. Infected, even fatalities, are not noted. Far worse is that ""healthy"" feel to confident and regard the pandemic as a joke. False safety is no safety.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","16669075","8","13","FEMA","fema",,,,,,,,,,,,,,,,,,,,,"1238862992193847296","en","0",,,,,,,,,"0","0","0","active","@CDCgov @fema Partly true. But most people have ""underlying causes"". Posts like this cause confusion and gives false statistics. Infected, even fatalities, are not noted. Far worse is that ""healthy"" feel to confident and regard the pandemic as a joke. False safety is no safety.",
