"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","quotes","replies","retweets","status","text","views"
"false","false","Making the right choices as much as possible will make for a great new year!","https://pbs.twimg.com/profile_images/698320871/camera_valentines_004_normal.JPG","islandprincess2","18191676","islandprincess2","26859","0","1481333160218669056","Thu Jan 13 03:12:15 +0000 2022","Then Y R so many unvaccinated athletes dropping dead in the field in front of thousands? Y are the vaccinated getting Covid and dying? The vaccine destroys your immune system!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481464081278197765","en","0",,,"0","0","0","active","@CDCgov Then Y R so many unvaccinated athletes dropping dead in the field in front of thousands? Y are the vaccinated getting Covid and dying? The vaccine destroys your immune system!!",
"false","false","Husband,father,hunter, trucker and official #billsmafia member","https://pbs.twimg.com/profile_images/1786726123667095552/MzYz2KNs_normal.jpg","70 oldsguy","524652254","_scottwiedemann","198","0","1481333160218669056","Wed Jan 12 18:35:50 +0000 2022","Undeniable data and safety #Covaxin4Kids","35","48","Covaxin4Kids",,,,,,,,,,"pic.x.com/0kSJqDT9Xt","https://x.com/_scottwiedemann/status/1481334120148049924/photo/1","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1481334115186135047","49","72","3_1481334115186135047","3_1481334115186135047","https://pbs.twimg.com/media/FI7Bh4FWUAcEwad.jpg","655","1170","0","0","1170","1170","0","0","1184","1039","66","0","1184","592","289","0","1184","1170","0","0","1184","1170","1184","fit","1170","1184","fit","1170","680","fit","672","150","crop","150","photo","https://t.co/0kSJqDT9Xt",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481334120148049924","en","24","1481334115186135047","https://pbs.twimg.com/media/FI7Bh4FWUAcEwad.jpg","0","12","6","active","@CDCgov Undeniable data and safety #Covaxin4Kids https://t.co/0kSJqDT9Xt",
"false","false","Father to an amazing daughter!","https://pbs.twimg.com/profile_images/1510431840145969159/Aup5adsd_normal.jpg","PAPA LEO","1213816374763503627","WorldPeace20220","1103","0","1481333160218669056","Thu Jan 13 14:03:45 +0000 2022","#IchooseCOVAXIN #CovaxinForKids #Covaxin4Kids #COVAXIN 
PEDIATRIC STUDIES 2-18 HAVE CONCLUDED THIS IS THE VACCINE I WANT FOR MY CHILDREN...FREEDOM OF CHOICE!!!!","8","23","IchooseCOVAXIN","24","39","CovaxinForKids","40","53","Covaxin4Kids","54","62","COVAXIN","pic.x.com/bzvik9dMYU","https://x.com/PapaLeo41862157/status/1481628036940406784/photo/1","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1481628034432122886","169","192","3_1481628034432122886","3_1481628034432122886","https://pbs.twimg.com/media/FI_M2OmWQAYnphj.jpg","717","1280","0","563","1280","1280","0","0","1280","1123","111","0","1280","640","352","0","1280","1280","0","0","1280","1280","1280","fit","1280","1200","fit","1200","680","fit","680","150","crop","150","photo","https://t.co/bzvik9dMYU",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481628036940406784","en","11","1481628034432122886","https://pbs.twimg.com/media/FI_M2OmWQAYnphj.jpg","0","2","2","active","@CDCgov #IchooseCOVAXIN #CovaxinForKids #Covaxin4Kids #COVAXIN 
PEDIATRIC STUDIES 2-18 HAVE CONCLUDED THIS IS THE VACCINE I WANT FOR MY CHILDREN...FREEDOM OF CHOICE!!!! https://t.co/bzvik9dMYU",
"false","false","Enjoying the terrible writing of Hollywood and the embarrassing American Political environment.","https://pbs.twimg.com/profile_images/1841116154045059076/C3S6mnpx_normal.jpg","Darth_Viewer","1432421727011749902","DarthViewer","106","0","1481333160218669056","Thu Jan 13 01:22:07 +0000 2022","Natural Immunity, nah, diet and exercise, nah, magic shot, heck ya!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481436363241238534","en","8",,,"0","1","1","active","@CDCgov Natural Immunity, nah, diet and exercise, nah, magic shot, heck ya!!!",
"false","false","Everything I share is my opinion. Not financial advice.","https://pbs.twimg.com/profile_images/1448467922595237889/FypvaCN5_normal.png","Todd michales","1448467804710227970","MichalesTodd","75","0","1481333160218669056","Thu Jan 13 03:45:14 +0000 2022","So what the results on long term effects? How can you determine if this is safe long term?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","44783853","8","15","HHS","HHSGov",,,,,,"1481472379675197445","en","7",,,"0","2","0","active","@CDCgov @HHSGov So what the results on long term effects? How can you determine if this is safe long term?",
"false","false","It is what it is..","https://pbs.twimg.com/profile_images/1425268280986505220/wNRG6Nen_normal.jpg","1sn0s","1425243138130468867","SeanLy21154853","0","0","1481333160218669056","Wed Jan 12 19:00:08 +0000 2022","Add #covaxin to the list i dont mind paying for it… #IchooseCOVAXIN","12","20","covaxin","60","75","IchooseCOVAXIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481340235141107714","en","3",,,"0","1","1","active","@CDCgov Add #covaxin to the list i dont mind paying for it… #IchooseCOVAXIN",
"false","false","","https://pbs.twimg.com/profile_images/1480107027669999617/SJ99-FZ6_normal.png","Wes Ballard","1480106751395467266","WesBallard8","2","0","1481333160218669056","Thu Jan 13 04:50:51 +0000 2022","How about a Covaxin shot? Just read the data and do your own DD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481488894495367170","en","4",,,"0","0","2","active","@CDCgov How about a Covaxin shot? Just read the data and do your own DD.",
"false","false","","https://pbs.twimg.com/profile_images/1464302699168604165/gAQhVX12_normal.jpg","Ariel Andres Castro Echeverria","1464302590393528327","ArielAndresCas1","5","0","1481333160218669056","Thu Jan 13 14:04:08 +0000 2022","Aprueben covaxin es la única vacuna segura.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","208120290","8","15","U.S. FDA","US_FDA",,,,,,"1481628131442061313","ca","3",,,"0","0","2","active","@CDCgov @US_FDA Aprueben covaxin es la única vacuna segura.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Ryan Brown","1479124744431714304","rgbrown95","14","0","1481333160218669056","Wed Jan 12 19:38:29 +0000 2022","Over my dead body🖕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481349886079610891","en","6",,,"0","0","0","active","@CDCgov Over my dead body🖕",
"false","false","Are we similar?","https://pbs.twimg.com/profile_images/1356607761916653568/CJMm79_l_normal.jpg","Smiu","1349584026940571648","Smiu63166903","0","0","1481333160218669056","Thu Jan 13 14:01:28 +0000 2022","Still waiting for a safer vaccine than what the lacklustre ones you have approved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481627460261523461","en","4",,,"0","0","1","active","@CDCgov Still waiting for a safer vaccine than what the lacklustre ones you have approved.",
