"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"true","false","Host of the #7 Celebrity Podcast | Professional Wrestler (PWI 500) | Helping businesses scale through strategic marketing and media expertise","https://pbs.twimg.com/profile_images/1678065411735138304/QqKTmhUg_normal.jpg","Neil Haley","38784416","themediagiant","48968","0","1491849512893267971","Wed Feb 23 20:27:14 +0000 2022","https://t.co/QiEEDi9gNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"youtu.be/rbIIsEKCoBw","https://youtu.be/rbIIsEKCoBw","8","31","https://t.co/QiEEDi9gNT","146569971","0","7","CDC","CDCgov",,,,,,"1496582442626568194","qme","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/QiEEDi9gNT",
"true","false","Home of the FREE, because of the BRAVE","https://pbs.twimg.com/profile_images/1953543257570324480/SUzCryZs_normal.jpg","✝️🇺🇸","1464581137288867851","Robin60870204","391","0","1491849512893267971","Thu Feb 10 19:15:54 +0000 2022","CDC has lost all  little creditably they had left.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491853451520888839","en","49",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov CDC has lost all  little creditably they had left.",
"false","false","","https://pbs.twimg.com/profile_images/1427666044928286723/H-yNzpCQ_normal.jpg","Natalie C","1099827764994154496","C_Natalie13","11","0","1491849512893267971","Thu Feb 10 19:01:29 +0000 2022","",,,,,,,"pic.x.com/Z7JD0lPVLO","https://x.com/C_Natalie13/status/1491849823754113027/photo/1","Sheldon Cooper Spray GIF","Available",,,,,,,,,,,,,,,,,"1491849818515378177","8","31","16_1491849818515378177","16_1491849818515378177","https://pbs.twimg.com/tweet_video_thumb/FLQdgXrXEAEmOCY.jpg",,,,,,,,,,,,,,,,,,,,,"286","498","286","fit","498","286","fit","498","286","fit","498","150","crop","150","animated_gif","https://t.co/Z7JD0lPVLO","249","143","0","video/mp4","https://video.twimg.com/tweet_video/FLQdgXrXEAEmOCY.mp4",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491849823754113027","qme","33",,,"249","143",,"1491849818515378177","https://pbs.twimg.com/tweet_video_thumb/FLQdgXrXEAEmOCY.jpg","286","498","0","video/mp4","https://video.twimg.com/tweet_video/FLQdgXrXEAEmOCY.mp4",,,,,,,"0","0","2","active","@CDCgov https://t.co/Z7JD0lPVLO",
"false","false","","https://pbs.twimg.com/profile_images/1871359456467881984/HemrT8h0_normal.jpg","pezzplayer","1424576783857356804","desiree18006433","21","0","1491849512893267971","Fri Feb 11 03:28:33 +0000 2022","Thats funny havent had not one vaccination, been around those who have and have cought covid, and still havent gotten sick.  Seems like the CDC is backwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491977428947947546","en","24",,,,,,,,,,,,,,,,,,,"0","6","0","active","@CDCgov Thats funny havent had not one vaccination, been around those who have and have cought covid, and still havent gotten sick.  Seems like the CDC is backwards.",
"false","false","i am a Muslim and love people of the  world.
because Muhammad's invitation was that wherever you heard the voice of the oppressed and needy, hurry to their aid.","https://pbs.twimg.com/profile_images/1467545823240232962/K1VCRTcF_normal.jpg","Saman Ismaili","1467545630700707841","samanesi92","196","0","1491849512893267971","Thu Feb 10 19:04:39 +0000 2022","Using a national database in Qatar, investigators found that previous #SARSCoV2 infection provided protection against reinfection that ranged from 85% to 92% for alpha, beta, and delta strains and was approx 60% protective against omicron. #COVID19 https://t.co/haDBvu0tG1","78","87","SARSCoV2","248","256","COVID19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nej.md/34glTXe","https://nej.md/34glTXe","257","280","https://t.co/haDBvu0tG1","146569971","0","7","CDC","CDCgov",,,,,,"1491850617148657668","en","12",,,,,,,,,,,,,,,,,,,"0","4","0","active","@CDCgov Using a national database in Qatar, investigators found that previous #SARSCoV2 infection provided protection against reinfection that ranged from 85% to 92% for alpha, beta, and delta strains and was approx 60% protective against omicron. #COVID19 https://t.co/haDBvu0tG1",
"true","true","polymath navigating a world of specialists","https://pbs.twimg.com/profile_images/1633209635191799808/WQ4yUOCR_normal.jpg","Wild","1965490674","WildlandsGG","1692","0","1491849512893267971","Thu Feb 10 19:09:43 +0000 2022","Looking at table 2 in your bitly link, it looks like people with 2 doses and no booster also got hit hard with cases. Does that mean the plan going forward is booster every couple of months?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491851893697499143","en","11",,,,,,,,,,,,,,,,,,,"0","5","1","active","@CDCgov Looking at table 2 in your bitly link, it looks like people with 2 doses and no booster also got hit hard with cases. Does that mean the plan going forward is booster every couple of months?",
"false","true","","https://pbs.twimg.com/profile_images/1580956694808502273/vEmei5Du_normal.jpg","Zekk","1298762853848158209","Zkkarrr","10","0","1491849512893267971","Thu Feb 10 19:26:24 +0000 2022","",,,,,,,"pic.x.com/efxiiUJWcA","https://x.com/_Gabone_/status/1491856093869490177/photo/1","Laugh Really Hard Season 10 GIF by ABC Network","Available",,,,,,,,,,,,,,,,,"1491856085204013061","8","31","16_1491856085204013061","16_1491856085204013061","https://pbs.twimg.com/tweet_video_thumb/FLQjNI6XEAUY-yI.jpg",,,,,,,,,,,,,,,,,,,,,"270","480","270","fit","480","270","fit","480","270","fit","480","150","crop","150","animated_gif","https://t.co/efxiiUJWcA","16","9","0","video/mp4","https://video.twimg.com/tweet_video/FLQjNI6XEAUY-yI.mp4",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491856093869490177","qme","4",,,"16","9",,"1491856085204013061","https://pbs.twimg.com/tweet_video_thumb/FLQjNI6XEAUY-yI.jpg","270","480","0","video/mp4","https://video.twimg.com/tweet_video/FLQjNI6XEAUY-yI.mp4",,,,,,,"0","0","0","active","@CDCgov https://t.co/efxiiUJWcA",
"false","false","","https://pbs.twimg.com/profile_images/1487797990970605570/c84mhgWe_normal.jpg","Amy🦦","1436325835875696642","myrockpile","0","0","1491849512893267971","Thu Feb 10 23:11:36 +0000 2022","Then why was my vaccinated man sick af with covid?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491912764922732554","en","4",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Then why was my vaccinated man sick af with covid?",
"false","true","Covid is not over. Climate Destabilization is a mass extinction emergency. Fascism is here, now. Democrats, like cops, lie. GOP is truly awful. 🇮🇱 is trash.","https://pbs.twimg.com/profile_images/2021258210318090241/zksPpRbT_normal.jpg","Hugh Wouldathunkit 🍉","1242278924014333952","HughThunkIt","3007","0","1491849512893267971","Thu Feb 10 21:11:35 +0000 2022","ON AVERAGE! IN ONE PERIOD!

Those boosts in immunity do not apply equally to everyone. The people who need it most are likely to get less benefit from vaccination. And the immunity wears off fairly quickly, even as new variants get much better at defeating that immunity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491882563886989318","en","5",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov ON AVERAGE! IN ONE PERIOD!

Those boosts in immunity do not apply equally to everyone. The people who need it most are likely to get less benefit from vaccination. And the immunity wears off fairly quickly, even as new variants get much better at defeating that immunity.",
"false","false","Retired since 2020. #1 Colorado Avs fan. Living the dream in Miami Beach. Sun, sand and a tight line.","https://pbs.twimg.com/profile_images/1975206282706788353/WBzjvItO_normal.jpg","Gary Thurner","891989202","GaryThurner","354","0","1491849512893267971","Thu Feb 10 19:52:32 +0000 2022","Sounds made up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491862668436770825","en","4",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Sounds made up.",
