"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","entities/user_mentions/4/id_str","entities/user_mentions/4/indices/0","entities/user_mentions/4/indices/1","entities/user_mentions/4/name","entities/user_mentions/4/screen_name","entities/user_mentions/5/id_str","entities/user_mentions/5/indices/0","entities/user_mentions/5/indices/1","entities/user_mentions/5/name","entities/user_mentions/5/screen_name","entities/user_mentions/6/id_str","entities/user_mentions/6/indices/0","entities/user_mentions/6/indices/1","entities/user_mentions/6/name","entities/user_mentions/6/screen_name","entities/user_mentions/7/id_str","entities/user_mentions/7/indices/0","entities/user_mentions/7/indices/1","entities/user_mentions/7/name","entities/user_mentions/7/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","quotes","replies","retweets","status","text","views"
"true","false","Host of the #7 Celebrity Podcast | Professional Wrestler (PWI 500) | Helping businesses scale through strategic marketing and media expertise","https://pbs.twimg.com/profile_images/1678065411735138304/QqKTmhUg_normal.jpg","Neil Haley","38784416","themediagiant","48968","0","1495477114799366145","Wed Feb 23 20:26:12 +0000 2022","https://t.co/QiEEDi9gNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"youtu.be/rbIIsEKCoBw","https://youtu.be/rbIIsEKCoBw","8","31","https://t.co/QiEEDi9gNT","146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1496582185217892352","qme","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/QiEEDi9gNT",
"true","false","Host of the #7 Celebrity Podcast | Professional Wrestler (PWI 500) | Helping businesses scale through strategic marketing and media expertise","https://pbs.twimg.com/profile_images/1678065411735138304/QqKTmhUg_normal.jpg","Neil Haley","38784416","themediagiant","48968","0","1495477114799366145","Wed Feb 23 19:48:09 +0000 2022","https://t.co/jD9CBxoFyD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"youtu.be/uGFf_W3Q0Zg","https://youtu.be/uGFf_W3Q0Zg","8","31","https://t.co/jD9CBxoFyD","146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1496572609777000449","qme","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/jD9CBxoFyD",
"true","false","Host of the #7 Celebrity Podcast | Professional Wrestler (PWI 500) | Helping businesses scale through strategic marketing and media expertise","https://pbs.twimg.com/profile_images/1678065411735138304/QqKTmhUg_normal.jpg","Neil Haley","38784416","themediagiant","48968","0","1495477114799366145","Wed Feb 23 06:34:36 +0000 2022","https://t.co/jQt8L0VhNk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"m.youtube.com/watch?v=uGFf_W…","https://m.youtube.com/watch?v=uGFf_W3Q0Zg","8","31","https://t.co/jQt8L0VhNk","146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1496372906393227266","qme","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/jQt8L0VhNk",
"false","false","Put God first. Im not here for shenanigans, just to stay in tune 
Youtube: Mitch's Locker","https://pbs.twimg.com/profile_images/1820236552108216320/bWnu6E3o_normal.jpg","Cough EE","509551075","MitchTheJourney","202","0","1495477114799366145","Sun Feb 20 20:21:07 +0000 2022","Unless they are doing ASL for ""CDC has been wrong for the last 23 months,"" I don't care about this at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495493740533850113","en","18",,,,,,,,,,,,,"0","2","1","active","@CDCgov Unless they are doing ASL for ""CDC has been wrong for the last 23 months,"" I don't care about this at all",
"false","false","Hawkeye Fan - world traveler - patriot  

I support co2, free speech, 2A rights, and humanity. I block all trolls and bots.","https://pbs.twimg.com/profile_images/1228161409948831744/TJP0CM26_normal.jpg","ニック","2885186350","HawkeyeNick1","279","0","1495477114799366145","Sun Feb 20 20:31:07 +0000 2022","Just sign language NO.",,,,,,,"pic.x.com/ArCc2UkLHi","https://x.com/HawkeyeNick1/status/1495496257271476228/photo/1",,"Available","114","114","548","151","114","114","548","151","114","114","548","151","107","107","517","142","1495495964529991691","31","54","3_1495495964529991691","3_1495495964529991691","https://pbs.twimg.com/media/FMERqADXIAsbZv6.jpg","403","720","0","97","500","500","220","0","500","439","281","0","500","250","469","0","500","720","0","0","500","720","500","fit","720","500","fit","720","472","fit","680","150","crop","150","photo","https://t.co/ArCc2UkLHi",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495496257271476228","en","6","1495495964529991691","https://pbs.twimg.com/media/FMERqADXIAsbZv6.jpg",,,,,,,,,,,"1","0","1","active","@CDCgov Just sign language NO. https://t.co/ArCc2UkLHi",
"false","true","Web3 unthinker.
Falling down rabbit holes, breaking things, and pretending it was all part of the plan.","https://pbs.twimg.com/profile_images/2019135580441882624/zhCIFUI-_normal.jpg","The White Rabbit","1358868488077643786","thewhiterabbitM","2314","0","1495477114799366145","Sun Feb 20 19:15:34 +0000 2022","",,,,,,,"pic.x.com/fxgIzxCOVK","https://x.com/Jancker83475682/status/1495477246563389449/photo/1",,"Available","457","457","35","39","457","457","35","39","457","457","35","39","457","457","35","39","1495477244680183812","8","31","3_1495477244680183812","3_1495477244680183812","https://pbs.twimg.com/media/FMEAoXLXoAQZgzD.png","299","534","0","51","534","534","0","0","534","468","33","0","534","267","134","0","534","534","0","0","534","534","534","fit","534","534","fit","534","534","fit","534","150","crop","150","photo","https://t.co/fxgIzxCOVK",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495477246563389449","qme","4","1495477244680183812","https://pbs.twimg.com/media/FMEAoXLXoAQZgzD.png",,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/fxgIzxCOVK",
"false","false","Learning God is less than Gnosis is less than Genesis. 
Student of Hyperion/Gnosis
Pronouns are Dude/Bruh","https://pbs.twimg.com/profile_images/1905850687507906560/m-Bwb835_normal.jpg","FrakkinMakkin","1455325192956305413","FMakkin","393","0","1495477114799366145","Mon Feb 21 01:26:47 +0000 2022","",,,,,,,"pic.x.com/o0ZIunocsC","https://x.com/FMakkin/status/1495570663196737538/photo/1",,"Available",,,,,,,,,,,,,,,,,"1495570654338457601","8","31","3_1495570654338457601","3_1495570654338457601","https://pbs.twimg.com/media/FMFVlhRXoAEXCvv.jpg","420","750","0","33","569","569","0","0","569","499","0","0","569","285","101","0","569","750","0","0","569","750","569","fit","750","569","fit","750","516","fit","680","150","crop","150","photo","https://t.co/o0ZIunocsC",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495570663196737538","qme","1","1495570654338457601","https://pbs.twimg.com/media/FMFVlhRXoAEXCvv.jpg",,,,,,,,,,,"0","0","1","active","@CDCgov https://t.co/o0ZIunocsC",
"false","false","🇺🇸
Fear Is Control.
$PLTR  $BBAI  $RDGL","https://pbs.twimg.com/profile_images/1301881480617041922/hraSCk_m_normal.jpg","BrandonHeat","257926860","ramjetsghost","148","0","1495477114799366145","Sun Feb 20 19:43:02 +0000 2022","Lip Reading Not Allowed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495484157736140800","en","3",,,,,,,,,,,,,"0","1","0","active","@CDCgov Lip Reading Not Allowed",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Carmelita","1206648605978873858","Carmeli76403871","8","0","1495477114799366145","Sun Feb 20 20:06:07 +0000 2022","Leave the kids alone!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495489967505784835","en","4",,,,,,,,,,,,,"0","0","0","active","@CDCgov Leave the kids alone!!!",
"false","false","A Parrhesiastes is one who speaks the truth. Be a Parrhesiastes.","https://pbs.twimg.com/profile_images/1495761448030638086/WlU3t3xA_normal.jpg","Gretchen Thinks","1495761040461770752","GretchenThinks","4","0","1495477114799366145","Mon Feb 21 14:14:44 +0000 2022","Please translate this into sign language for all to understand https://t.co/ww00AGlU7O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rumble.com/vtcsgw-worldwi…","https://rumble.com/vtcsgw-worldwide-exclusive-embalmers-find-veins-and-arteries-filled-with-never-bef.html","71","94","https://t.co/ww00AGlU7O","146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495763926671372293","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov Please translate this into sign language for all to understand https://t.co/ww00AGlU7O",
