"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/large/faces/2/h","entities/media/0/features/large/faces/2/w","entities/media/0/features/large/faces/2/x","entities/media/0/features/large/faces/2/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/medium/faces/2/h","entities/media/0/features/medium/faces/2/w","entities/media/0/features/medium/faces/2/x","entities/media/0/features/medium/faces/2/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/orig/faces/2/h","entities/media/0/features/orig/faces/2/w","entities/media/0/features/orig/faces/2/x","entities/media/0/features/orig/faces/2/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/features/small/faces/2/h","entities/media/0/features/small/faces/2/w","entities/media/0/features/small/faces/2/x","entities/media/0/features/small/faces/2/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","Rams, Celtics, Orioles and Bruins... and I live in a van down by the river.","https://pbs.twimg.com/profile_images/963609725647708163/CvAYHjVj_normal.jpg","Michael J.Kinsey Rocket Scientist (he,him,hey you)","255240931","mikeramceltos","283","0","1533906075195424774","Mon Jun 06 23:24:30 +0000 2022","How many people have died from the vaccine? Just curious.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1533953005187436544","en","28",,,,,,,,,,,,,,,,,,,"0","4","1","active","@CDCgov How many people have died from the vaccine? Just curious.",
"false","false","","https://pbs.twimg.com/profile_images/2043424608901324800/OTEniZ1-_normal.jpg","Errin","558366726","errinbaccari","456","0","1533906075195424774","Mon Jun 06 21:11:04 +0000 2022","No more trust in Corporate Gov’t agencies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1533919427170820099","en","25",,,,,,,,,,,,,,,,,,,"0","1","1","active","@CDCgov No more trust in Corporate Gov’t agencies",
"true","true","","https://pbs.twimg.com/profile_images/1611601457383350272/A1nkTXSM_normal.jpg","BriBri","61241212","wood_rich_","189","0","1533906075195424774","Mon Jun 06 20:30:20 +0000 2022","",,,,,,,,,,"pic.x.com/R7R55bBNYd","https://x.com/WISTWIT/status/1533909173083287557/photo/1","Spongebob Squarepants Reaction GIF","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1533909164652736512","8","31","16_1533909164652736512","16_1533909164652736512","https://pbs.twimg.com/tweet_video_thumb/FUmKQhzXsAAArAZ.jpg",,,,,,,,,,,,,,,,,,,,,"150","200","150","fit","200","150","fit","200","150","fit","200","150","crop","150","animated_gif","https://t.co/R7R55bBNYd","4","3","0","video/mp4","https://video.twimg.com/tweet_video/FUmKQhzXsAAArAZ.mp4",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1533909173083287557","qme","24",,,"4","3",,"1533909164652736512","https://pbs.twimg.com/tweet_video_thumb/FUmKQhzXsAAArAZ.jpg","150","200","0","video/mp4","https://video.twimg.com/tweet_video/FUmKQhzXsAAArAZ.mp4",,,,,,,"0","0","0","active","@CDCgov https://t.co/R7R55bBNYd",
"false","true","She/Her 🏳️‍🌈BLM 🏳️‍⚧️ Ally 🇵🇸Resist “And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom.” -Anais Nin","https://pbs.twimg.com/profile_images/1524145142051086336/mAQ0A1nn_normal.jpg","Pro-Compost, Anti-Covid 🌻💜😷 #DavosSafe","1483498181937799169","Annalisa840917","3104","0","1533906075195424774","Tue Jun 07 02:12:44 +0000 2022","The Vaccine Only approach has failed. Vaccines are great but we need more to defeat #covid19: ventilated buildings, clean indoor air, free N95 respirators. Education on how #COVIDisAirborne. 

We need a leader like @joaquinlife in Congress. His plan:

https://t.co/zpMgtAVS1Y","92","100","covid19","181","197","COVIDisAirborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"greenzoneact.com","https://www.greenzoneact.com","260","283","https://t.co/zpMgtAVS1Y","146569971","0","7","CDC","CDCgov","39015033","223","235","Joaquín Beltrán Free Palestine","joaquinlife","1533995343981031424","en","4",,,,,,,,,,,,,,,,,,,"0","4","2","active","@CDCgov The Vaccine Only approach has failed. Vaccines are great but we need more to defeat #covid19: ventilated buildings, clean indoor air, free N95 respirators. Education on how #COVIDisAirborne. 

We need a leader like @joaquinlife in Congress. His plan:

https://t.co/zpMgtAVS1Y",
"false","false","Just a dude","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Manfromuncle79","1520572941842456583","manfromuncle79","8","0","1533906075195424774","Tue Jun 07 04:03:19 +0000 2022","How bout pure bloods, how many are there?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1534023172013445120","en","11",,,,,,,,,,,,,,,,,,,"0","4","0","active","@CDCgov How bout pure bloods, how many are there?",
"false","true","","https://pbs.twimg.com/profile_images/901489211441909760/7y3HKuWw_normal.jpg","Chuck Gaines","75237804","Chuckygii","82","0","1533906075195424774","Mon Jun 06 22:11:26 +0000 2022","Yet fully vaccinated American citizens have to provide a negative test prior to re-entering  the US by plane.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1533934617761402882","en","8",,,,,,,,,,,,,,,,,,,"0","2","0","active","@CDCgov Yet fully vaccinated American citizens have to provide a negative test prior to re-entering  the US by plane.",
"false","false","#Bitcoin - Incorruptible money which provides an unerring signal of value.","https://pbs.twimg.com/profile_images/1422225956152823809/MVPZy06S_normal.jpg","McStackin🦞🚚🇨🇦🚛🇨🇦🛻🇨🇦","1422221555950518275","McStackinn","287","0","1533906075195424774","Tue Jun 07 02:03:52 +0000 2022","Don’t, it’s a crappy mispromoted product. https://t.co/p7XtJnO388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"forbes.com/sites/robertha…","https://www.forbes.com/sites/roberthart/2022/05/13/pfizers-covid-vaccine-protection-against-omicron-fades-just-weeks-after-second-and-third-doses-study-finds/?sh=15874de532af","50","73","https://t.co/p7XtJnO388","146569971","0","7","CDC","CDCgov",,,,,,"1533993112598548483","en","7",,,,,,,,,,,,,,,,,,,"0","0","1","active","@CDCgov Don’t, it’s a crappy mispromoted product. https://t.co/p7XtJnO388",
"false","false","The rotation of Earth really makes my day","https://pbs.twimg.com/profile_images/1842598953604268033/e4GFVH5N_normal.jpg","Mo","246379905","Morveno","96","0","1533906075195424774","Tue Jun 07 00:08:26 +0000 2022","No thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1533964059334287360","en","3",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov No thanks",
"false","true","","https://pbs.twimg.com/profile_images/1546313655557529601/jj2-lrAj_normal.jpg","Matt","153617513","mattjjmcdaniel","406","0","1533906075195424774","Mon Jun 06 20:24:41 +0000 2022","",,,,,,,,,,"pic.x.com/C1BbwdGnmX","https://x.com/mattjjmcdaniel/status/1533907754129272833/photo/1","stephen colbert lol GIF by The Late Show With Stephen Colbert","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1533907747523149826","8","31","16_1533907747523149826","16_1533907747523149826","https://pbs.twimg.com/tweet_video_thumb/FUmI-ClWQAIK-77.jpg",,,,,,,,,,,,,,,,,,,,,"270","480","270","fit","480","270","fit","480","270","fit","480","150","crop","150","animated_gif","https://t.co/C1BbwdGnmX","16","9","0","video/mp4","https://video.twimg.com/tweet_video/FUmI-ClWQAIK-77.mp4",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1533907754129272833","qme","5",,,"16","9",,"1533907747523149826","https://pbs.twimg.com/tweet_video_thumb/FUmI-ClWQAIK-77.jpg","270","480","0","video/mp4","https://video.twimg.com/tweet_video/FUmI-ClWQAIK-77.mp4",,,,,,,"0","0","0","active","@CDCgov https://t.co/C1BbwdGnmX",
"false","false","","https://pbs.twimg.com/profile_images/1350235016979230723/sUWOKZhb_normal.jpg","Tommy Dreamer","1343213129971470336","TommyDr38456324","122","0","1533906075195424774","Tue Jun 07 14:17:08 +0000 2022","Hilarious! What a joke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1534177641540079616","en","3",,,,,,,,,,,,,,,,,,,"0","0","1","active","@CDCgov Hilarious! What a joke",
