"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/additional_media_info/monetizable","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/duration_millis","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/media/0/video_info/variants/1/bitrate","entities/media/0/video_info/variants/1/content_type","entities/media/0/video_info/variants/1/url","entities/media/0/video_info/variants/2/bitrate","entities/media/0/video_info/variants/2/content_type","entities/media/0/video_info/variants/2/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","media/video/0/variants/1/bitrate","media/video/0/variants/1/content_type","media/video/0/variants/1/url","media/video/0/variants/2/bitrate","media/video/0/variants/2/content_type","media/video/0/variants/2/url","quotes","replies","retweets","status","text","views"
"false","true","Author and Cat Mom to Misha. A Bobtail kitten with Manx Syndrome.","https://pbs.twimg.com/profile_images/1507551605096427524/zyswA6ni_normal.jpg","Rebecca June/🐾Misha's Mama🐾","2749909363","GhostLdyTN","1335","2","1486021122089005058","Tue Jan 25 17:32:34 +0000 2022","Safe? Really? My boyfriend's father died of a heart attack due to a blood clot just days after receiving your ""safe and effective"" booster! 💔😢💔 Why don't you report how many people have died because of the shot? He left behind a wife of 53 yrs, 2 sons, and 5 grandchildren. 😢",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486029238516043783","en","270",,,,,,,,,,,,,,,,,,,"3","10","71","active","@CDCgov Safe? Really? My boyfriend's father died of a heart attack due to a blood clot just days after receiving your ""safe and effective"" booster! 💔😢💔 Why don't you report how many people have died because of the shot? He left behind a wife of 53 yrs, 2 sons, and 5 grandchildren. 😢",
"true","false","Host of the #7 Celebrity Podcast | Professional Wrestler (PWI 500) | Helping businesses scale through strategic marketing and media expertise","https://pbs.twimg.com/profile_images/1678065411735138304/QqKTmhUg_normal.jpg","Neil Haley","38784416","themediagiant","48968","0","1486021122089005058","Wed Feb 23 20:29:06 +0000 2022","https://t.co/QiEEDi9gNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"youtu.be/rbIIsEKCoBw","https://youtu.be/rbIIsEKCoBw","8","31","https://t.co/QiEEDi9gNT","146569971","0","7","CDC","CDCgov",,,,,,"1496582913210658822","qme","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/QiEEDi9gNT",
"false","false","Award needed for # of times booted. Just here for the laughs this go round. And the ""told you so's"".","https://pbs.twimg.com/profile_images/1485680725877829641/MWbGKKlO_normal.jpg","Kalyn","1476775076326486031","KalynThaGreat","12","1","1486021122089005058","Tue Jan 25 17:17:58 +0000 2022","So is this the new norm, changing the narrative daily and just hoping nobody notices?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486025565434007563","en","91",,,,,,,,,,,,,,,,,,,"0","1","1","active","@CDCgov So is this the new norm, changing the narrative daily and just hoping nobody notices?",
"true","false","🇺🇸 MAGA 🇺🇸 MAHA 🇺🇸 America 1st 🇺🇸 I will follow back all real people and I won’t DM you! SKÖL!","https://pbs.twimg.com/profile_images/1901724002101403648/lj5SXC7R_normal.jpg","🇺🇸 Maga Viking 🇺🇸","1468988338422132753","_MAGA_Viking","7564","0","1486021122089005058","Wed Jan 26 01:16:06 +0000 2022","4 people in my immediate family have had covid. 2 were vaxxed, 2 weren’t. It wasn’t that bad for any of us. 

But the vaccine killed my grandmother. So it doesn’t seem worth the risk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486145893682323457","en","53",,,,,,,,,,,,,,,,,,,"0","3","0","active","@CDCgov 4 people in my immediate family have had covid. 2 were vaxxed, 2 weren’t. It wasn’t that bad for any of us. 

But the vaccine killed my grandmother. So it doesn’t seem worth the risk.",
"false","false","X","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Jane","1483574833409572867","Jane73069899","4","0","1486021122089005058","Tue Jan 25 18:16:04 +0000 2022","Pfizer commercial every hour. Nice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486040186458882056","en","33",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Pfizer commercial every hour. Nice.",
"false","false","#CanadianGenocide
#CanadianCrimesAgainstHumanity
#TheCrownDoesNotProtectTheCanadianConstitutionAct1982
#GovernmentofOntarioIsAProtectionRacket","https://pbs.twimg.com/profile_images/1711442897344598016/eMLfOz-z_normal.jpg","A Canada Goose (O Wah Ta Goo Siam)","17547430","arsimpulsum","535","0","1486021122089005058","Thu Feb 10 04:16:24 +0000 2022","Why don't you be honest and tell the American public that EUAs are NOT APPROVED NOR LICENSED MEDICINE and have their own special informed consent guidelines?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491627083331735556","en","26",,,,,,,,,,,,,,,,,,,"0","0","1","active","@CDCgov Why don't you be honest and tell the American public that EUAs are NOT APPROVED NOR LICENSED MEDICINE and have their own special informed consent guidelines?",
"true","true","","https://pbs.twimg.com/profile_images/977161913615421440/KukV192c_normal.jpg","Scott","110162096","Sandpuppy02","622","0","1486021122089005058","Thu Feb 03 16:22:19 +0000 2022","Then explain why everyone is having strokes? You are more likely to have a stroke after you get boosted just ask Betty white and Bob Sagot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1489273052110196738","en","21",,,,,,,,,,,,,,,,,,,"0","1","1","active","@CDCgov Then explain why everyone is having strokes? You are more likely to have a stroke after you get boosted just ask Betty white and Bob Sagot",
"false","true","I'm a granddaughter of a #RosieTheRiveter that welded ships in San Francisco for #WWII","https://pbs.twimg.com/profile_images/1355285854453809153/9AyGBj9y_normal.jpg","U🇺🇸S🇺🇸A!","2345831796","USASMNR","665","0","1486021122089005058","Tue Jan 25 17:32:20 +0000 2022","",,,,,,,,"pic.x.com/6i3C1YYnsu","https://x.com/USASMNR/status/1486029179371986945/photo/1",,"Available","117","117","203","465","120","120","276","160","117","117","203","465","120","120","276","160","117","117","203","465","120","120","276","160","95","95","164","377","97","97","224","129","1486029175995580418","8","31","3_1486029175995580418","3_1486029175995580418","https://pbs.twimg.com/media/FJ9vqYkVQAIYju0.jpg","402","718","0","0","718","718","0","0","819","718","0","0","837","419","187","0","837","718","0","0","837","718","837","fit","718","837","fit","718","680","fit","583","150","crop","150","photo","https://t.co/6i3C1YYnsu",,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486029179371986945","qme","18","1486029175995580418","https://pbs.twimg.com/media/FJ9vqYkVQAIYju0.jpg",,,,,,,,,,,,,,,,,"0","4","3","active","@CDCgov https://t.co/6i3C1YYnsu",
"false","false","1776 Patriot","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Kate1776","1340726553416753152","Kate17761","196","0","1486021122089005058","Tue Jan 25 19:47:11 +0000 2022","What about antibodies?  When will the data be made public on the adverse effects?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486063116442120197","en","22",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov What about antibodies?  When will the data be made public on the adverse effects?",
"false","false","Health-professional, NFT explorer, Life lover , occasional artist . 99%smiles","https://pbs.twimg.com/profile_images/2009133472816812032/tevHg-eD_normal.jpg","Tashi","1486472187858931712","Tashi_Health7","4122","0","1486021122089005058","Tue Feb 08 08:35:05 +0000 2022","How about rare cases if myocarditis? Not much data available on proceeding with boosters !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1490967407615426566","en","17",,,,,,,,,,,,,,,,,,,"0","4","0","active","@CDCgov How about rare cases if myocarditis? Not much data available on proceeding with boosters !",
