"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/additional_media_info/monetizable","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/duration_millis","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/media/0/video_info/variants/1/bitrate","entities/media/0/video_info/variants/1/content_type","entities/media/0/video_info/variants/1/url","entities/media/0/video_info/variants/2/bitrate","entities/media/0/video_info/variants/2/content_type","entities/media/0/video_info/variants/2/url","entities/media/0/video_info/variants/3/bitrate","entities/media/0/video_info/variants/3/content_type","entities/media/0/video_info/variants/3/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","media/video/0/variants/1/bitrate","media/video/0/variants/1/content_type","media/video/0/variants/1/url","media/video/0/variants/2/bitrate","media/video/0/variants/2/content_type","media/video/0/variants/2/url","media/video/0/variants/3/bitrate","media/video/0/variants/3/content_type","media/video/0/variants/3/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","Humanist & Atheist.

Retweets are not necessarily an endorsement","https://pbs.twimg.com/profile_images/1495210943202136064/nQ5eP2Ki_normal.jpg","Fool me once.","2508422724","LabourOutOfScot","5941","12","1498387536032399361","Mon Jun 12 08:24:22 +0000 2023","The CDC",,,,,,,"false","pic.x.com/EmGvGDyfIH","https://x.com/LabourOutOfScot/status/1668172379019702273/video/1",,"Available",,,,,,,,,,,,,,,,,"1668172345633042432","16","39","7_1668172345633042432","7_1668172345633042432","https://pbs.twimg.com/ext_tw_video_thumb/1668172345633042432/pu/img/R7J9-DASgazCIGuX.jpg",,,,,,,,,,,,,,,,,,,,,"1246","576","1246","fit","576","1200","fit","555","680","fit","314","150","crop","150","video","https://t.co/EmGvGDyfIH","288","623","28383",,"application/x-mpegURL","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/pl/oTH70wwsLGGFhUV8.m3u8?tag=12","632000","video/mp4","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/vid/320x692/LQFQDm44xArtLJNb.mp4?tag=12","950000","video/mp4","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/vid/480x1038/doRCa4r0fNNb6OFh.mp4?tag=12","2176000","video/mp4","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/vid/576x1246/5X3r0P9-zqHUrkMw.mp4?tag=12",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1668172379019702273","en","126",,,"288","623","28383","1668172345633042432","https://pbs.twimg.com/ext_tw_video_thumb/1668172345633042432/pu/img/R7J9-DASgazCIGuX.jpg","1246","576",,"application/x-mpegURL","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/pl/oTH70wwsLGGFhUV8.m3u8?tag=12","632000","video/mp4","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/vid/320x692/LQFQDm44xArtLJNb.mp4?tag=12","950000","video/mp4","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/vid/480x1038/doRCa4r0fNNb6OFh.mp4?tag=12","2176000","video/mp4","https://video.twimg.com/ext_tw_video/1668172345633042432/pu/vid/576x1246/5X3r0P9-zqHUrkMw.mp4?tag=12",,,,,,,"5","8","59","active","@CDCgov The CDC https://t.co/EmGvGDyfIH","3121"
"false","false","USAF Retiree
Happily Married Father of 2
Conservative/Libertarian
Dog Lover
Proud Deplorable
FB @RogerJStoneJr
Pineapple On Pizza Is A Crime Against Humanity 🤣","https://pbs.twimg.com/profile_images/1588377356011540482/QaGTZyut_normal.jpg","Gav aka Citizen Se7en🌵🇺🇸🏴󠁧󠁢󠁳󠁣󠁴󠁿🇩🇪","1550594031398359049","Its_Gav_7","77242","0","1498387536032399361","Mon Jun 19 03:29:05 +0000 2023","Well that didn't fucking age well, did it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1670634780960980992","en","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Well that didn't fucking age well, did it?","81"
"false","false","Auto-didact, programmer, entrepreneur, analyst. I like science with a small ""s"". 
Centrist, independent, opinionated. Unvaxxed. Immune to COVID. Neurodivergent.","https://pbs.twimg.com/profile_images/1649603785583390720/1i6QsM--_normal.jpg","Aaron Morrow","1649565730105438209","camorrow73","543","0","1498387536032399361","Sun Jun 11 17:36:22 +0000 2023","This is an absolutely genocidal LIE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1667948903759527937","en","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3","11","active","@CDCgov This is an absolutely genocidal LIE.","2504"
"false","false","#bitcoin 🚀 🌝 💎 🙌🏽","https://pbs.twimg.com/profile_images/1498893906196328450/QjIHkGWQ_normal.jpg","Juan Hodl","1310309042032578560","JuanGutiCA714","10520","0","1498387536032399361","Sun Jun 11 15:26:09 +0000 2023","",,,,,,,,"pic.x.com/ZADdam0ivz","https://x.com/JuanGutiCA714/status/1667916133968617472/photo/1",,"Available","107","107","167","485","107","107","167","485","107","107","167","485","67","67","105","305","1667916130634063873","8","31","3_1667916130634063873","3_1667916130634063873","https://pbs.twimg.com/media/FyWg4kGWYAERtpZ.jpg","604","1078","0","0","735","735","145","0","735","645","190","0","735","368","328","0","735","1078","0","0","735","1078","735","fit","1078","735","fit","1078","464","fit","680","150","crop","150","photo","https://t.co/ZADdam0ivz",,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1667916133968617472","qme","59","1667916130634063873","https://pbs.twimg.com/media/FyWg4kGWYAERtpZ.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","11","active","@CDCgov https://t.co/ZADdam0ivz","539"
"false","false","Finance & Tech","https://pbs.twimg.com/profile_images/1470789897736929283/Apeq5rBQ_normal.jpg","Lepindev","917756226020052993","lepindev","490","0","1498387536032399361","Sun Jun 11 06:32:38 +0000 2023","Seems rather Growing evidence CDC is burrying truths 😜https://t.co/wT2EkpNu4Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"x.com/MakisMD/status…","https://x.com/MakisMD/status/1667736672593940480?s=20","62","85","https://t.co/wT2EkpNu4Y","146569971","0","7","CDC","CDCgov",,,,,,"1667781869235060737","en","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","6","active","@CDCgov Seems rather Growing evidence CDC is burrying truths 😜https://t.co/wT2EkpNu4Y","1064"
"false","true","Let me guess, Brick 6 is shorted?   WONDER WHY","https://pbs.twimg.com/profile_images/1651590958612459520/ibxJRjdd_normal.jpg","The Right Foot","1598190791947591680","brick6short","120","0","1498387536032399361","Mon Jun 12 08:22:11 +0000 2023","Murderers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1668171829092007936","en","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Murderers","1572"
"false","false","","https://pbs.twimg.com/profile_images/1507478431587467265/7ir_87zo_normal.jpg","Jenny Laflamme 🇨🇦","1450845858761621508","willyouawaken","347","0","1498387536032399361","Sun Jun 11 06:21:29 +0000 2023","Murderers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1667779063786917888","en","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Murderers","523"
"false","true","NY born Puerto Rican, who speaks 5 languages, has lived in 7 countries and is a Trumpservative (Trump-style Conservative)
#ITookTheOath","https://pbs.twimg.com/profile_images/1247718124541153281/1ybG_LZG_normal.jpg","Puertorican Patriot","14077958","Ramon71","534","0","1498387536032399361","Sun Jun 11 03:58:38 +0000 2023","Hey liars, wanna revisit this statement?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1667743113475940352","en","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Hey liars, wanna revisit this statement?","782"
"false","false","","https://pbs.twimg.com/profile_images/1419660399939567621/ePUahrEh_normal.jpg","Joey","1419314437324947464","JoeyTemper","135","0","1498387536032399361","Mon Feb 28 21:22:01 +0000 2022","What are the long term effects of those vaccines? No research done",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1498408168111718403","en","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov What are the long term effects of those vaccines? No research done",
"false","false","","https://pbs.twimg.com/profile_images/1685286762199838721/aSCw8JNm_normal.jpg","Jaycee 🛡️","1591533751","camper2023","33","0","1498387536032399361","Sun Jun 11 12:11:57 +0000 2023","There are zero reasons why a pregnant woman should be vaccinated, for any reason",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1667867263834226688","en","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","1","active","@CDCgov There are zero reasons why a pregnant woman should be vaccinated, for any reason","475"
