"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/symbols/0/indices/0","entities/symbols/0/indices/1","entities/symbols/0/tag/info/info/name","entities/symbols/0/tag/info/info/ticker","entities/symbols/0/text","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","entities/user_mentions/4/id_str","entities/user_mentions/4/indices/0","entities/user_mentions/4/indices/1","entities/user_mentions/4/name","entities/user_mentions/4/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"true","true","Navigating the icy slopes of the market & building cool things. OpenClaw Contributor 🦞 https://t.co/bHi01Dye8e","https://pbs.twimg.com/profile_images/2035166707388465152/BmYEp18U_normal.jpg","Tyler Bea","1265745017089515521","skibumtrading","18039","0","1505218795937447939","Sat Mar 19 17:29:06 +0000 2022","Nobody cares anymore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505234924407771138","en","9",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Nobody cares anymore",
"false","true","it's me 😁","https://pbs.twimg.com/profile_images/1340340230528917505/QB06oYSQ_normal.jpg","space truckn","141798641","spctruckn","167","0","1505218795937447939","Sat Mar 19 16:27:24 +0000 2022","And 99.99% chance without it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505219398214246400","en","54",,,,,,,,,,,,,,,,,,,"0","6","0","active","@CDCgov And 99.99% chance without it.",
"false","false","","https://pbs.twimg.com/profile_images/1351181733484515332/vqD67KIA_normal.jpg","Andrea","922254589","drea_1122","121","0","1505218795937447939","Sat Mar 19 16:34:18 +0000 2022","So the whole vaccinations prevent hospitalizations isn’t true either?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505221134161166340","en","20",,,,,,,,,,,,,,,,,,,"0","6","0","active","@CDCgov So the whole vaccinations prevent hospitalizations isn’t true either?",
"false","false","Plumber, father and smart ass. I've seen some crazy shit 🤪","https://pbs.twimg.com/profile_images/1542111454182232065/sy47Wg5P_normal.jpg","T Bags","1422151264830464000","TBags1978","391","0","1505218795937447939","Sun Mar 20 00:37:15 +0000 2022","",,,,,,,,,,,,,,"pic.x.com/jVWV0ejU4v","https://x.com/TBags1978/status/1505342671212142595/photo/1",,"Available",,,,,,,,,,,,,,,,,"1505342669794463747","8","31","3_1505342669794463747","3_1505342669794463747","https://pbs.twimg.com/media/FOQNLrpWUAMgZXR.jpg","420","750","0","0","750","750","0","0","831","729","0","0","831","416","144","0","831","750","0","0","831","750","831","fit","750","831","fit","750","680","fit","614","150","crop","150","photo","https://t.co/jVWV0ejU4v",,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505342671212142595","qme","15","1505342669794463747","https://pbs.twimg.com/media/FOQNLrpWUAMgZXR.jpg",,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov https://t.co/jVWV0ejU4v",
"false","false","","https://pbs.twimg.com/profile_images/1232766297563451395/J1TwHqQG_normal.jpg","Jose","1204112430982410240","Jose03780600","45","0","1505218795937447939","Sat Mar 19 16:58:07 +0000 2022","Why aren’t air purifiers with HEPA filters mandated at the workplace?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505227128647917569","en","16",,,,,,,,,,,,,,,,,,,"0","2","0","active","@CDCgov Why aren’t air purifiers with HEPA filters mandated at the workplace?",
"false","false","Highlighting the Hypocrisy and Gaslighting From Our Leaders & Those Who Don't Practice What They Preach!","https://pbs.twimg.com/profile_images/1507477766391934976/DkA-NzL7_normal.jpg","Hypocrisy_101","1499427492783927296","_Hypocrisy101","6","0","1505218795937447939","Sun Mar 20 00:49:33 +0000 2022","3 doses and they STILL ended up in the hospital??? Hmm, and we wonder why so many people are saying no lbvs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505345765710999560","en","16",,,,,,,,,,,,,,,,,,,"0","3","0","active","@CDCgov 3 doses and they STILL ended up in the hospital??? Hmm, and we wonder why so many people are saying no lbvs",
"false","false","Veteran/Anarchist/Anti commie Pirate.
Documenting the industrial revolution in real time. 
 #XMR #ARRR #Wownero","https://pbs.twimg.com/profile_images/1390040194879995911/DsptkNNj_normal.jpg","Alexpuppy","909435735173824512","Alexpuppy5","379","0","1505218795937447939","Sat Mar 19 16:44:28 +0000 2022","Advertising war crimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505223691088633860","en","12",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Advertising war crimes",
"false","false","Father to an amazing daughter!","https://pbs.twimg.com/profile_images/1510431840145969159/Aup5adsd_normal.jpg","PAPA LEO","1213816374763503627","WorldPeace20220","1103","0","1505218795937447939","Sat Mar 19 16:32:41 +0000 2022","Don't believe a word you say...you guys became a political commentator for Biden administration! What a 🤡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505220728253292546","en","5",,,,,,,,,,,,,,,,,,,"0","0","2","active","@CDCgov Don't believe a word you say...you guys became a political commentator for Biden administration! What a 🤡",
"false","false","Husband,father,hunter, trucker and official #billsmafia member","https://pbs.twimg.com/profile_images/1786726123667095552/MzYz2KNs_normal.jpg","70 oldsguy","524652254","_scottwiedemann","198","0","1505218795937447939","Sat Mar 19 16:28:09 +0000 2022","sorry no more mrna shots.....#IchooseCOVAXIN",,"37","52","IchooseCOVAXIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505219585301168130","en","10",,,,,,,,,,,,,,,,,,,"0","3","0","active","@CDCgov sorry no more mrna shots.....#IchooseCOVAXIN",
"false","false","","https://pbs.twimg.com/profile_images/1525260242736381953/jFW1wSqX_normal.jpg","KaimukiBoy","264571974","KaimukiJ","150","0","1505218795937447939","Sat Mar 19 16:47:54 +0000 2022","🤡😂🤡😂",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505224554620207107","qme","10",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov 🤡😂🤡😂",
"false","false","","https://pbs.twimg.com/profile_images/1284695913504673792/tu6-eHsC_normal.jpg","nintendofan","2254011222","Nintendofan0064","55","0","1505218795937447939","Sat Mar 19 18:58:40 +0000 2022","Let us live our lives the way we want to.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505257462991147017","en","11",,,,,,,,,,,,,,,,,,,"0","2","0","active","@CDCgov Let us live our lives the way we want to.",
"false","false","Non-Vaxed, Non-Masked independent Navy veteran. Loyal to the greatest country in the world. Destroyer of the woke fruitloop liberal wimps.","https://pbs.twimg.com/profile_images/1492614200287449094/5_pXieDs_normal.jpg","Johnny Hammer","1470712568016736260","JSnowclit","94","0","1505218795937447939","Sun Mar 20 09:06:55 +0000 2022","Look here everyone if you have not had covid get the damn vaccine, if you had covid like I did and have natural immunity then it's your choice. stop bringing politics and BS into this  Pandemic it's a major health concern for everybody. have respect !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,"1505470933041045509","en","8",,,,,,,,,,,,,,,,,,,"0","5","0","active","@CDCgov Look here everyone if you have not had covid get the damn vaccine, if you had covid like I did and have natural immunity then it's your choice. stop bringing politics and BS into this  Pandemic it's a major health concern for everybody. have respect !",
"false","false","Investigative research is the ‘mother of any investigation’.
Human Rights - Environment - Education","https://pbs.twimg.com/profile_images/1710362858712899584/7sSnoKPv_normal.jpg","Investigations","1281628082978254852","ViolationsWatch","55","0","1505218795937447939","Sat Mar 19 17:53:53 +0000 2022","#Omicron &amp; #BA2 are rapidly rising in the US &amp; this is what you post? @CDCDirector mask mandates must be reactivated NOW, or resign! Your unsafe advice keeps repeating itself. The #BA2 is redoubling weekly 'Optional masks' myth is unscientific nonsense @POTUS @HHSGov @OIGatHHS",,"8","16","Omicron","23","27","BA2","196","200","BA2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","426909329","86","98","CDC Director","CDCDirector","1879650942410481666","269","275","President Donald J. Trump","POTUS","44783853","276","283","HHS","HHSGov","291759889","284","293","OIG at HHS","OIGatHHS","1505241163120447494","en","3",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov #Omicron &amp; #BA2 are rapidly rising in the US &amp; this is what you post? @CDCDirector mask mandates must be reactivated NOW, or resign! Your unsafe advice keeps repeating itself. The #BA2 is redoubling weekly 'Optional masks' myth is unscientific nonsense @POTUS @HHSGov @OIGatHHS",
