row_id,cdc_post_id,created_at,comment_id,lang,text,period
0,1482128870287544324,Sat Jan 15 05:23:05 +0000 2022,1482221781255610372,en,@CDCgov You’re a tad late with this information.,period_3
1,1482128870287544324,Sat Jan 15 01:29:31 +0000 2022,1482163002866487296,en,"@CDCgov We've blown it for 2 years, but believe us THIS time!",period_3
2,1482128870287544324,Fri Jan 14 23:52:30 +0000 2022,1482138588011806722,en,@CDCgov TWO FUKEN YEARS!!! 🤦🏻‍♂️,period_3
3,1482128870287544324,Sat Jan 15 07:05:36 +0000 2022,1482247579664621568,en,@CDCgov I'm done with the freaking masks..I got vaccinated..I got boostered..done..,period_3
4,1482128870287544324,Fri Jan 14 23:24:03 +0000 2022,1482131428989186049,en,@CDCgov And ventilation? At the workplace nobody wants to acknowledge it’s airborne,period_3
5,1482128870287544324,Sat Jan 15 01:21:10 +0000 2022,1482160901654470662,en,@CDCgov My best fit and comfort is no mask. Thanks CDC!,period_3
6,1482128870287544324,Sat Jan 15 00:09:34 +0000 2022,1482142880747724803,en,"@CDCgov IMHO I'll add:
👉Ventilation
👉Air filtration",period_3
7,1482128870287544324,Fri Jan 14 23:17:39 +0000 2022,1482129817604661248,en,"@CDCgov Cool story, so send us free ones yesterday.",period_3
8,1482128870287544324,Fri Jan 14 23:58:48 +0000 2022,1482140170707214340,en,"@CDCgov Dammit. All I have are cloth masks. I've only got COVID once, because my dumbass sister didn't tell me she'd been exposed. Vaxxed and boosted, but only have cloth masks. Are the 'best' masks free? Y'all gonna give them to us? Sigh.",period_3
9,1482128870287544324,Fri Jan 14 23:33:27 +0000 2022,1482133792504483840,en,"@CDCgov What about mask braces? 
https://t.co/FY7VnBFePy",period_3
10,1482128870287544324,Sat Jan 15 19:04:49 +0000 2022,1482428576368447488,en,"@CDCgov I’m in Vegas, huge spike…and you are allowed to remove your mask in crowded casinos to smoke or vape &amp; blow smoke to your hearts content. Indoors. Now explain “health, science and safety” to me again as it relates to this practice? When I get a coherent health answer, I’ll bow.",period_3
11,1482128870287544324,Sat Jan 15 03:10:07 +0000 2022,1482188320427941888,en,"@CDCgov Been vaccinated and boosted, still tested positive for omicron. Apparently this covid stuff is never going away...",period_3
12,1482128870287544324,Sat Jan 15 03:37:11 +0000 2022,1482195131482656770,en,@CDCgov Here’s a fantastic idea:,period_3
13,1482128870287544324,Sat Jan 15 04:40:59 +0000 2022,1482211186661863428,en,@CDCgov Thank you for following the science and updating the guidance! https://t.co/3jrqjpnSpx,period_3
14,1482128870287544324,Sat Jan 15 07:12:09 +0000 2022,1482249229984800769,en,"@CDCgov What's this about comfort?  You barely improved the message.
Covid is airborne. Only N95s (or higher) provide the necessary protection, unless you are meeting someone briefly outdoors. https://t.co/G3Na2eYjJe",period_3
15,1482128870287544324,Sat Jan 15 04:53:12 +0000 2022,1482214261657317378,en,@CDCgov Good to get the right masking messages out. But how about better ventilation and air filtration? Not wanting to push businesses and govts to do their fair share to fight this pandemic?,period_3
16,1482128870287544324,Sat Jan 15 03:15:52 +0000 2022,1482189763570548740,en,@CDCgov Better two years late than never.  Still not perfect but better,period_3
17,1482128870287544324,Sat Jan 15 00:51:35 +0000 2022,1482153455854637058,en,@CDCgov You have no substantial data so just don’t say this and expect people to listen because you don’t back it up and you are wrong!,period_3
18,1482128870287544324,Sat Jan 15 06:23:25 +0000 2022,1482236963683909635,en,@CDCgov N95 masks are best by far. https://t.co/ZkKMCOVGqy,period_3
19,1482128870287544324,Sat Jan 15 00:06:26 +0000 2022,1482142092595847178,en,@CDCgov Bernie wants us all to have the good ones,period_3
20,1482128870287544324,Sat Jan 15 01:54:31 +0000 2022,1482169292623912967,en,"""wear the most protective mask you can that fits well and that you will wear consistently""

FINALLY @CDCgov
https://t.co/FJT53cRssy",period_3
21,1482128870287544324,Sat Jan 15 01:02:24 +0000 2022,1482156177257598978,en,@CDCgov Took you long enough,period_3
22,1482128870287544324,Fri Jan 14 23:18:34 +0000 2022,1482130046873571331,en,@CDCgov How many boosters?  I hear they are dropping off faster and faster?  Will they be down to six weeks or so after the 4th or 5th?,period_3
23,1482128870287544324,Sat Jan 15 17:22:40 +0000 2022,1482402869273845764,en,@CDCgov Fixed https://t.co/T49TLjVcBT,period_3
24,1482128870287544324,Sat Jan 15 01:37:19 +0000 2022,1482164963753947137,en,@CDCgov @joshtpm There’s a 5th option. https://t.co/qaTL5N69Wh,period_3
25,1482128870287544324,Sat Jan 15 16:31:24 +0000 2022,1482389968194580481,en,@CDCgov When they shut down the southern border then maybe all this bs will make sense?,period_3
27,1482128870287544324,Sat Jan 15 15:26:18 +0000 2022,1482373585188446209,en,@CDCgov Be clear that cloth masks should be set aside at this point in favor of better masks.,period_3
28,1482128870287544324,Sat Jan 15 13:45:26 +0000 2022,1482348203127324676,en,@CDCgov Are you sure this time? Because you seem to keep changing your guidance.,period_3
29,1482128870287544324,Sat Jan 15 01:52:25 +0000 2022,1482168762820435971,en,@CDCgov Or you could just live your life normally and not catch it either,period_3
30,1482128870287544324,Mon Jan 17 21:36:31 +0000 2022,1483191527685853187,en,@CDCgov Tell me where one can buy 3M 1860 N 95s. … should be made available to everyone!,period_3
